PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS,2021/22 Salary,Team Payroll,Percentage of Team Payroll
Aaron Nesmith,BOS,22,52,32,20,11.0,107.3,104.3,3.0,5.7,0.71,9.0,2.5,11.7,7.3,12.7,48.1,50.7,16.4,100.58,4.8,1196,3631200.0,138096726.0,2.6
Stephen Curry,GSW,34,64,45,19,34.5,114.1,103.4,10.7,28.6,1.96,20.8,1.5,12.6,7.3,10.6,55.4,60.1,29.3,100.83,15.5,4649,45780966.0,178980766.0,25.6
Draymond Green,GSW,32,46,34,12,28.9,110.0,102.8,7.2,32.5,2.30,42.2,3.4,20.4,12.2,18.3,55.6,58.2,14.0,101.20,11.9,2797,24026712.0,178980766.0,13.4
Gary Payton II,GSW,29,71,47,24,17.6,110.6,102.3,8.3,7.6,1.60,13.5,5.8,13.2,9.7,8.4,67.9,67.9,14.0,100.35,11.4,2591,1669178.0,178980766.0,0.9
Klay Thompson,GSW,32,32,17,15,29.4,111.4,108.0,3.3,15.3,2.05,12.1,1.5,10.6,6.2,5.9,52.9,54.7,28.4,101.53,11.4,1990,37980720.0,178980766.0,21.2
Jordan Poole,GSW,22,76,49,27,30.0,112.1,105.5,6.6,20.7,1.63,18.4,1.5,9.4,5.6,11.3,54.8,59.8,25.2,100.05,11.1,4765,2161440.0,178980766.0,1.2
Nemanja Bjelica,GSW,34,71,48,23,16.1,109.2,104.0,5.2,20.4,1.83,25.4,5.5,18.7,12.4,13.9,54.7,57.3,17.5,99.35,11.0,2368,2089448.0,178980766.0,1.2
Andre Iguodala,GSW,38,31,20,11,19.4,105.7,97.0,8.7,26.3,4.07,41.8,3.5,11.7,7.8,10.3,45.0,47.8,11.3,99.57,10.3,1253,2641691.0,178980766.0,1.5
Kevon Looney,GSW,26,82,53,29,21.1,113.2,107.2,6.0,12.7,2.46,25.2,12.0,21.0,16.6,10.2,57.1,58.6,12.0,99.65,10.2,3574,5178572.0,178980766.0,2.9
Jonathan Kuminga,GSW,19,70,44,26,16.9,109.5,107.5,1.9,8.7,0.86,9.3,4.7,13.9,9.6,10.8,56.7,60.0,22.7,99.79,9.8,2457,5466360.0,178980766.0,3.1
Andrew Wiggins,GSW,27,73,47,26,31.9,111.2,105.4,5.8,10.9,1.45,11.6,3.6,9.5,6.6,8.0,54.3,56.0,22.4,99.79,9.7,4836,31579390.0,178980766.0,17.6
Damion Lee,GSW,29,63,41,22,19.9,109.3,106.5,2.8,7.2,1.66,12.2,2.2,13.6,8.1,7.3,52.3,56.1,15.6,99.80,8.1,2622,1910860.0,178980766.0,1.1
Juan Toscano-Anderson,GSW,29,73,51,22,13.6,109.8,106.9,2.9,18.0,1.87,27.6,3.0,14.3,8.9,14.8,54.9,56.1,14.4,99.03,8.0,2045,1701593.0,178980766.0,1.0
Moses Moody,GSW,20,52,35,17,11.7,104.8,108.9,-4.0,5.6,1.77,9.8,2.8,9.8,6.4,5.6,54.6,57.3,14.8,101.00,6.9,1282,3562200.0,178980766.0,2.0
Chris Chiozza,GSW,26,34,21,13,10.9,100.4,108.3,-7.9,26.4,2.03,36.3,2.3,7.3,4.8,17.9,40.1,40.7,13.2,97.32,3.9,759,462629.0,178980766.0,0.3
Jonas Valanciunas,NOP,30,74,34,40,30.3,111.4,110.2,1.2,13.7,1.06,13.2,10.0,28.0,18.9,12.5,57.4,61.7,23.8,97.63,15.3,4562,14000000.0,135793968.0,10.3
Brandon Ingram,NOP,24,55,29,26,34.0,112.7,109.4,3.3,26.8,2.03,19.5,1.9,15.2,8.6,9.6,49.8,55.4,29.1,98.07,13.9,3817,29467800.0,135793968.0,21.7
Willy Hernangomez,NOP,28,50,22,28,16.8,112.5,114.2,-1.6,11.3,1.24,12.5,15.3,24.0,19.4,10.1,52.6,58.2,21.1,101.84,13.1,1773,2327220.0,135793968.0,1.7
CJ McCollum,NOP,30,62,28,34,34.6,112.1,114.0,-1.9,23.8,2.48,18.8,2.4,10.1,6.2,7.6,53.9,55.3,26.9,99.14,11.9,4437,30864198.0,135793968.0,22.7
Jaxson Hayes,NOP,22,70,29,41,20.0,109.7,109.2,0.5,4.7,0.80,7.5,8.0,14.6,11.3,9.4,64.1,68.0,15.9,99.98,11.0,2914,5348280.0,135793968.0,3.9
Jose Alvarado,NOP,24,54,25,29,15.4,112.1,104.8,7.3,26.1,3.80,29.9,2.9,9.4,6.0,7.9,50.0,52.0,17.4,100.67,10.7,1756,1925406.0,135793968.0,1.4
Gary Clark,NOP,27,38,20,18,10.0,105.6,107.8,-2.1,6.7,1.80,14.9,5.7,17.4,11.5,8.3,53.4,54.7,11.0,101.21,8.7,797,811213.0,135793968.0,0.6
Naji Marshall,NOP,24,55,23,32,13.4,105.7,108.0,-2.2,12.6,1.35,14.7,4.7,14.2,9.2,10.9,44.4,50.5,19.7,102.03,8.2,1557,1517981.0,135793968.0,1.1
Garrett Temple,NOP,36,59,23,36,18.6,101.0,114.7,-13.7,10.2,1.76,17.2,2.4,10.6,6.3,9.8,47.6,49.4,13.6,99.35,5.7,2267,4910000.0,135793968.0,3.6
Tony Snell,NOP,30,53,19,34,15.5,104.8,112.6,-7.8,4.7,1.47,12.8,1.8,10.7,6.1,8.7,53.5,54.1,9.9,99.59,4.3,1714,2389641.0,135793968.0,1.8
JaVale McGee,PHX,34,74,57,17,15.8,110.4,104.6,5.8,5.5,0.43,6.4,13.4,26.6,20.1,14.9,63.1,65.1,21.4,102.00,15.2,2479,5000000.0,136476474.0,3.7
Chris Paul,PHX,37,65,53,12,32.9,115.6,105.5,10.0,43.4,4.59,41.8,1.1,11.3,6.4,9.1,53.6,58.1,19.7,100.10,15.0,4466,30800000.0,136476474.0,22.6
Deandre Ayton,PHX,23,58,46,12,29.5,117.2,107.7,9.6,7.1,0.92,9.0,9.3,24.1,17.2,9.7,63.9,65.6,21.7,100.62,14.8,3590,12632950.0,136476474.0,9.3
Devin Booker,PHX,25,68,56,12,34.5,117.6,108.1,9.5,21.2,2.03,16.0,2.0,11.7,7.1,7.9,53.0,57.6,31.3,101.21,13.7,4943,31650600.0,136476474.0,23.2
Cameron Payne,PHX,27,58,46,12,22.0,109.1,102.7,6.3,31.8,2.74,27.9,1.8,10.9,6.5,10.2,46.9,50.0,23.5,102.83,10.7,2725,6500000.0,136476474.0,4.8
Cameron Johnson,PHX,26,66,50,16,26.2,110.8,104.6,6.2,7.9,2.11,12.4,2.3,12.3,7.5,5.9,59.6,62.5,16.7,102.22,10.5,3680,4437000.0,136476474.0,3.3
Bismack Biyombo,PHX,29,36,30,6,14.1,111.8,106.2,5.6,6.4,0.92,10.3,11.7,20.7,16.1,11.2,59.3,59.6,16.7,99.44,10.2,1045,1518213.0,136476474.0,1.1
Mikal Bridges,PHX,25,82,64,18,34.8,116.7,106.9,9.8,8.4,2.72,15.7,2.7,8.9,6.0,5.8,60.1,62.7,14.9,100.59,9.1,5976,5557725.0,136476474.0,4.1
Aaron Holiday,PHX,25,63,34,29,16.2,106.8,108.2,-1.4,22.3,2.28,26.1,2.3,9.2,5.8,11.4,50.4,54.4,18.2,99.57,8.8,2113,3980551.0,136476474.0,2.9
Jae Crowder,PHX,31,67,54,13,28.1,116.1,105.9,10.2,8.0,2.25,16.4,1.7,16.0,9.2,7.3,51.6,54.1,14.6,101.06,7.7,3966,9720900.0,136476474.0,7.1
Torrey Craig,PHX,31,78,36,42,20.5,106.8,111.8,-5.0,8.2,1.36,14.7,5.0,13.7,9.3,10.8,54.1,55.6,13.9,100.36,7.3,3329,4878049.0,136476474.0,3.6
Landry Shamet,PHX,25,69,53,16,20.8,107.8,102.9,4.9,10.4,2.63,16.3,1.0,7.2,4.1,6.2,52.1,55.0,16.0,101.89,6.9,3045,3768342.0,136476474.0,2.8
Elfrid Payton,PHX,28,50,39,11,11.0,103.0,105.0,-2.0,25.2,2.11,29.6,3.5,11.5,7.5,14.0,39.4,39.7,17.5,102.32,6.7,1161,2239544.0,136476474.0,1.6
Montrezl Harrell,CHA,28,71,36,35,23.1,111.6,108.5,3.0,13.9,2.01,16.2,9.2,16.3,12.9,8.0,64.9,68.0,19.8,99.24,15.0,3383,9720900.0,122139566.0,8.0
LaMelo Ball,CHA,20,75,39,36,32.3,114.0,112.5,1.5,34.1,2.33,26.4,4.2,15.7,9.8,11.3,51.7,55.4,27.1,102.88,13.2,5200,8231760.0,122139566.0,6.7
Miles Bridges,CHA,24,80,41,39,35.5,114.5,112.4,2.1,15.3,2.00,16.6,3.0,15.8,9.4,8.3,55.4,59.3,22.4,100.98,12.0,5975,5421493.0,122139566.0,4.4
Terry Rozier,CHA,28,73,38,35,33.7,113.3,112.0,1.4,19.7,3.40,19.8,2.1,10.1,6.1,5.8,53.9,56.6,22.7,101.03,11.4,5175,17905263.0,122139566.0,14.7
Gordon Hayward,CHA,32,49,26,23,31.9,110.7,111.0,-0.4,16.0,2.19,18.8,2.2,11.4,6.7,8.6,52.8,57.0,20.2,102.99,10.2,3352,29925000.0,122139566.0,24.5
Mason Plumlee,CHA,32,73,40,33,24.6,110.5,109.6,0.9,16.5,2.26,31.3,9.1,20.5,14.8,13.8,64.1,60.3,11.7,101.31,9.3,3771,9248333.0,122139566.0,7.6
Nick Richards,CHA,24,50,25,25,7.3,102.4,115.4,-13.0,5.4,0.54,9.0,8.6,13.7,11.1,16.6,66.7,68.9,14.7,103.02,8.6,785,1517981.0,122139566.0,1.2
Jalen McDaniels,CHA,24,55,34,21,16.3,111.7,109.1,2.6,8.9,1.61,15.2,3.9,13.8,8.9,9.4,56.5,59.5,15.2,100.96,8.2,1882,1782621.0,122139566.0,1.5
Cody Martin,CHA,26,71,41,30,26.3,113.1,113.0,0.1,12.4,2.93,25.2,4.3,10.8,7.5,8.6,55.4,57.9,12.0,100.54,8.0,3895,1782621.0,122139566.0,1.5
Isaiah Thomas,CHA,33,22,12,10,15.2,107.8,109.0,-1.3,15.5,2.27,15.0,1.2,7.1,4.2,6.6,48.5,51.6,24.5,101.89,7.4,707,910926.0,122139566.0,0.7
James Bouknight,CHA,21,31,15,16,9.8,108.0,114.2,-6.2,13.2,1.73,13.3,6.4,9.0,7.7,7.7,40.8,45.9,22.6,103.73,6.0,654,4154400.0,122139566.0,3.4
JT Thor,CHA,19,33,18,15,7.9,107.2,106.9,0.3,9.7,1.90,20.7,4.0,11.1,7.7,10.9,50.0,52.5,11.6,102.46,6.0,555,1250000.0,122139566.0,1.0
Kristaps Porzingis,WAS,26,51,26,25,29.0,109.9,109.5,0.4,13.3,1.47,10.9,6.8,20.4,13.7,7.4,51.0,57.7,28.6,97.92,15.0,3030,31650600.0,128019790.0,24.7
Bradley Beal,WAS,28,40,17,23,36.0,107.1,110.5,-3.5,30.9,1.96,21.1,2.6,9.9,6.4,10.8,49.2,53.9,29.7,99.36,12.3,2979,33724200.0,128019790.0,26.3
Daniel Gafford,WAS,23,72,30,42,20.1,108.6,115.5,-6.9,7.1,1.05,11.3,10.7,16.9,13.9,10.8,69.3,70.8,16.0,99.27,12.2,2985,1782621.0,128019790.0,1.4
Kyle Kuzma,WAS,26,66,29,37,33.4,108.2,114.3,-6.1,16.4,1.38,16.2,3.2,21.3,12.6,11.8,52.0,54.7,23.8,98.94,11.8,4541,13000000.0,128019790.0,10.2
Thomas Bryant,WAS,24,27,8,19,16.3,103.7,112.8,-9.1,8.3,1.21,11.1,6.0,18.7,12.4,9.1,56.1,60.7,18.8,98.05,10.6,900,8666667.0,128019790.0,6.8
Rui Hachimura,WAS,24,42,16,26,22.5,108.7,115.8,-7.1,8.0,1.45,9.8,2.7,14.3,8.6,6.7,56.3,57.9,20.5,98.62,9.9,1943,4916160.0,128019790.0,3.8
Deni Avdija,WAS,21,82,35,47,24.2,109.2,110.1,-1.0,11.7,1.92,18.7,2.7,18.2,10.6,9.7,50.3,53.6,15.8,99.88,8.6,4118,4692840.0,128019790.0,3.7
Raul Neto,WAS,30,70,29,41,19.6,109.6,112.9,-3.3,22.8,2.75,27.7,1.0,8.9,5.0,10.1,50.2,53.8,18.0,99.32,8.5,2842,2089448.0,128019790.0,1.6
Anthony Gill,WAS,29,44,15,29,10.5,114.7,108.9,5.8,8.0,1.50,15.2,7.5,11.2,9.4,10.1,63.3,68.2,13.8,100.53,8.1,972,1517981.0,128019790.0,1.2
Kentavious Caldwell-Pope,WAS,29,77,34,43,30.2,109.1,113.8,-4.7,9.0,1.49,12.8,1.8,9.3,5.6,8.6,53.1,56.8,18.5,99.28,8.0,4816,13038862.0,128019790.0,10.2
Tomas Satoransky,WAS,30,55,21,34,16.5,104.4,112.4,-8.0,28.5,4.00,41.3,2.9,11.0,6.9,10.3,40.6,46.1,12.4,98.73,7.6,1857,10000000.0,128019790.0,7.8
Corey Kispert,WAS,23,77,31,46,23.4,113.0,112.9,0.1,6.4,1.70,12.6,3.0,8.4,5.8,7.4,56.4,58.6,14.2,98.52,6.7,3712,3383640.0,128019790.0,2.6
Brad Wanamaker,WAS,32,23,10,13,13.9,104.0,110.3,-6.4,24.3,2.39,33.3,1.8,10.7,6.1,13.9,39.0,47.2,14.6,98.82,5.3,657,814918.0,128019790.0,0.6
DeMar DeRozan,CHI,32,76,43,33,36.1,113.1,112.0,1.1,22.8,2.07,16.0,2.1,12.2,7.2,7.8,52.1,59.0,30.8,100.04,14.8,5723,26000000.0,136083814.0,19.1
Nikola Vucevic,CHI,31,73,41,32,33.1,111.3,112.8,-1.6,15.3,1.74,15.0,6.0,27.4,16.8,8.6,51.8,53.3,24.4,99.04,13.2,5000,24000000.0,136083814.0,17.6
Zach LaVine,CHI,27,67,37,30,34.7,112.5,113.4,-0.9,20.7,1.77,16.7,1.0,12.1,6.7,9.4,55.4,60.5,28.4,99.36,12.9,4827,19500000.0,136083814.0,14.3
Lonzo Ball,CHI,24,35,22,13,34.6,110.1,107.0,3.1,20.3,2.17,27.2,2.9,12.5,7.7,12.5,56.7,57.5,17.0,100.11,9.7,2530,18604651.0,136083814.0,13.7
Tony Bradley,CHI,24,55,28,27,10.0,110.2,105.0,5.2,6.5,0.79,13.7,12.3,19.6,16.1,17.3,58.5,60.0,12.8,101.80,9.6,1169,1789256.0,136083814.0,1.3
Tristan Thompson,CHI,31,57,20,37,15.7,112.1,115.7,-3.6,5.4,0.76,8.5,12.5,19.6,15.9,11.3,53.0,54.1,16.8,99.54,8.6,1859,9946611.0,136083814.0,7.3
Coby White,CHI,22,61,32,29,27.5,112.3,113.6,-1.2,14.7,2.51,18.9,1.1,9.9,5.5,7.5,53.9,56.4,19.5,99.50,8.0,3476,5837760.0,136083814.0,4.3
Patrick Williams,CHI,20,17,9,8,24.8,107.8,113.3,-5.5,5.1,0.94,10.0,4.0,13.2,8.4,10.7,60.3,63.7,13.9,99.51,7.8,872,7422000.0,136083814.0,5.5
Javonte Green,CHI,28,65,38,27,23.4,113.6,112.0,1.6,5.1,2.00,13.1,6.2,12.0,9.2,6.5,59.7,63.7,11.3,100.50,7.7,3167,1669178.0,136083814.0,1.2
Alex Caruso,CHI,28,41,24,17,28.0,110.5,105.5,5.1,19.4,2.89,32.4,2.9,10.1,6.4,11.2,48.0,52.8,13.0,99.49,7.7,2372,8600000.0,136083814.0,6.3
Ayo Dosunmu,CHI,22,77,42,35,27.4,109.1,114.1,-5.0,16.4,2.37,27.5,1.3,9.0,5.2,11.6,58.5,59.6,13.8,100.31,7.0,4418,925258.0,136083814.0,0.7
Matt Thomas,CHI,27,40,23,17,11.5,109.5,108.5,1.1,5.9,2.50,11.8,0.7,9.6,5.3,4.7,54.1,56.4,13.7,101.01,6.8,977,1669178.0,136083814.0,1.2
Paul George,LAC,32,31,18,13,34.8,108.2,103.9,4.2,28.6,1.40,17.6,1.1,17.1,9.4,12.6,49.3,53.8,32.9,99.95,14.8,2242,39344970.0,168378382.0,23.4
Isaiah Hartenstein,LAC,24,68,37,31,17.9,112.1,105.0,7.0,19.3,1.90,24.0,9.7,15.8,13.0,12.6,64.5,66.4,17.7,100.73,13.2,2547,1729217.0,168378382.0,1.0
Ivica Zubac,LAC,25,76,40,36,24.4,108.7,112.2,-3.5,9.7,1.05,14.4,11.5,22.3,17.0,13.7,62.6,66.0,16.8,98.13,12.3,3786,7518518.0,168378382.0,4.5
Nicolas Batum,LAC,33,59,31,28,24.8,105.4,109.8,-4.4,9.9,2.50,18.5,1.9,14.6,8.2,7.4,60.2,60.8,13.0,99.74,9.6,3041,12026998.0,168378382.0,7.1
Luke Kennard,LAC,25,70,35,35,27.4,110.0,106.6,3.4,11.1,2.43,16.9,1.0,10.0,5.7,6.9,59.8,61.9,16.0,98.54,9.5,3963,13347727.0,168378382.0,7.9
Terance Mann,LAC,25,81,41,40,28.6,108.6,107.1,1.5,13.1,2.49,19.8,4.4,12.7,8.6,8.0,53.9,57.2,15.7,98.84,9.5,4768,1782621.0,168378382.0,1.1
Norman Powell,LAC,29,45,15,30,32.4,110.6,118.7,-8.1,10.6,1.39,11.0,1.3,8.9,5.0,7.9,54.9,60.3,23.1,99.29,9.4,3027,15517242.0,168378382.0,9.2
Reggie Jackson,LAC,32,75,38,37,31.2,108.2,109.4,-1.3,24.5,2.08,19.7,1.6,9.2,5.5,9.5,46.0,48.8,27.3,98.77,8.8,4804,10384500.0,168378382.0,6.2
Amir Coffey,LAC,24,69,33,36,22.7,110.1,111.0,-0.9,11.2,2.76,18.1,1.7,10.2,6.0,6.6,55.6,59.8,15.4,100.02,8.6,3258,573576.0,168378382.0,0.3
Robert Covington,LAC,31,71,34,37,27.3,110.9,110.2,0.6,6.6,1.23,13.2,3.0,16.7,9.8,10.8,54.8,57.2,13.4,99.73,8.0,4035,12975471.0,168378382.0,7.7
Rodney Hood,LAC,29,52,30,22,13.6,108.8,107.9,0.8,7.4,3.45,17.8,2.1,8.1,5.2,5.1,46.5,49.3,10.6,100.37,5.1,1482,2239544.0,168378382.0,1.3
Semi Ojeleye,LAC,27,30,14,16,13.5,97.8,114.4,-16.6,3.3,1.00,6.9,5.7,11.1,8.3,6.9,37.9,43.8,12.6,100.12,4.1,845,1789256.0,168378382.0,1.1
Jusuf Nurkic,POR,27,56,25,31,28.2,109.9,110.1,-0.1,16.0,1.10,15.5,10.1,28.3,19.1,14.1,54.8,58.6,23.3,98.80,14.2,3257,12000000.0,124788473.0,9.6
Damian Lillard,POR,31,29,12,17,36.4,113.0,114.8,-1.8,32.1,2.55,23.0,1.2,10.4,5.7,9.0,48.6,55.0,28.8,99.37,12.6,2191,39344900.0,124788473.0,31.5
Drew Eubanks,POR,25,71,19,52,17.5,103.1,115.9,-12.8,10.7,1.05,14.3,9.7,19.7,14.6,13.6,60.2,63.8,17.1,100.74,11.9,2616,2239820.0,124788473.0,1.8
Josh Hart,POR,27,54,20,34,33.2,108.4,113.2,-4.9,19.0,1.96,22.5,3.3,18.3,10.7,11.4,56.9,61.0,18.4,99.35,11.7,3699,12000000.0,124788473.0,9.6
Cody Zeller,POR,29,27,13,14,13.1,108.8,110.9,-2.1,8.7,1.16,14.2,12.8,21.2,16.8,12.3,56.7,62.7,15.3,101.20,10.3,742,2389641.0,124788473.0,1.9
Anfernee Simons,POR,22,57,25,32,29.5,110.5,112.9,-2.5,21.9,1.92,18.8,1.5,7.5,4.4,9.8,55.5,58.3,24.4,98.43,10.2,3447,3938818.0,124788473.0,3.2
Trendon Watford,POR,21,48,16,32,18.1,100.5,118.4,-17.9,15.2,1.84,18.7,6.0,16.3,10.9,10.2,54.9,59.0,16.9,102.67,9.7,1852,768830.0,124788473.0,0.6
Eric Bledsoe,POR,32,54,27,27,25.2,105.2,106.4,-1.2,25.1,1.94,26.3,2.0,10.5,6.3,13.6,47.5,51.4,19.8,99.80,9.5,2826,18125000.0,124788473.0,14.5
Justise Winslow,POR,26,48,24,24,16.1,108.1,105.9,2.1,15.5,1.71,20.0,6.0,17.7,12.0,11.7,45.7,47.9,17.8,103.14,9.3,1661,3902439.0,124788473.0,3.1
Nassir Little,POR,22,42,19,23,25.9,110.2,111.1,-0.9,7.4,1.35,12.0,5.2,15.8,10.5,8.9,54.1,57.5,15.5,98.46,9.1,2231,2316240.0,124788473.0,1.9
Joe Ingles,POR,34,45,28,17,24.9,111.9,103.7,8.2,19.5,3.43,31.7,1.0,9.9,5.6,9.2,54.0,55.1,12.9,99.09,7.7,2315,13036364.0,124788473.0,10.4
Ben McLemore,POR,29,64,20,44,20.1,101.9,115.0,-13.1,7.7,1.07,8.6,0.9,7.2,3.9,8.0,54.1,56.7,20.7,100.73,7.0,2697,2389641.0,124788473.0,1.9
Brandon Williams,POR,22,24,2,22,26.7,101.2,121.6,-20.4,23.5,1.62,19.7,2.6,8.9,5.5,12.2,42.7,47.6,24.6,100.92,6.9,1346,180798.0,124788473.0,0.1
CJ Elleby,POR,21,58,17,41,20.2,102.6,116.9,-14.3,10.9,1.55,17.8,5.2,14.1,9.4,11.5,45.3,49.1,14.3,100.44,6.0,2459,1517981.0,124788473.0,1.2
Keon Johnson,POR,20,37,8,29,18.8,100.8,119.8,-19.0,17.4,1.65,18.2,3.1,8.3,5.6,11.0,41.5,45.3,20.7,99.90,5.2,1444,2553240.0,124788473.0,2.0
Elijah Hughes,POR,24,36,15,21,12.1,98.2,121.8,-23.7,7.9,1.29,11.8,1.3,11.8,6.5,9.1,41.3,42.6,15.8,102.19,3.7,920,1517981.0,124788473.0,1.2
Keljin Blevins,POR,26,31,4,27,11.3,97.1,124.9,-27.7,8.3,1.12,12.5,4.2,9.0,6.4,11.2,40.1,41.0,16.1,100.85,2.5,732,462629.0,124788473.0,0.4
Christian Wood,HOU,26,68,19,49,30.8,106.6,115.7,-9.1,12.4,1.23,11.9,5.1,26.5,15.8,9.6,57.6,59.5,23.3,101.90,14.2,4443,13666667.0,132267085.0,10.3
Alperen Sengun,HOU,19,72,18,54,20.7,106.4,116.6,-10.2,19.3,1.28,19.4,8.9,17.4,13.0,15.2,50.2,55.2,21.4,101.69,9.9,3161,3214680.0,132267085.0,2.4
David Nwaba,HOU,29,46,6,40,13.2,106.9,115.9,-9.0,8.5,1.67,13.3,6.1,17.9,11.7,8.0,52.6,56.7,15.0,103.15,9.9,1309,4650000.0,132267085.0,3.5
Jae'Sean Tate,HOU,26,78,19,59,26.4,105.3,114.2,-8.9,17.1,1.60,19.0,6.3,13.5,9.8,11.9,54.1,56.7,19.4,101.95,9.0,4361,1517981.0,132267085.0,1.1
Usman Garuba,HOU,20,24,2,22,10.0,118.6,111.5,7.0,8.4,2.83,24.3,8.3,26.3,17.0,8.6,48.9,51.0,9.1,104.06,8.7,517,2353320.0,132267085.0,1.8
Jalen Green,HOU,20,67,12,55,31.9,105.7,116.9,-11.3,13.2,1.30,12.9,1.5,8.8,5.1,9.9,50.8,54.7,23.4,102.50,8.5,4563,8992080.0,132267085.0,6.8
Josh Christopher,HOU,20,74,18,56,18.0,106.9,116.1,-9.2,17.0,1.32,18.4,3.7,10.3,6.9,14.0,50.4,53.4,20.5,102.59,8.3,2846,2259240.0,132267085.0,1.7
Eric Gordon,HOU,33,57,19,38,29.3,108.6,113.6,-5.1,13.7,1.44,17.5,0.9,5.6,3.3,12.2,58.5,61.4,18.2,102.74,8.1,3576,18218818.0,132267085.0,13.8
Garrison Mathews,HOU,25,65,19,46,26.3,110.7,116.5,-5.9,5.2,1.56,10.2,1.8,9.3,5.4,6.5,55.0,60.2,13.7,102.47,6.1,3653,2000000.0,132267085.0,1.5
Daishen Nix,HOU,20,24,3,21,10.9,104.4,111.0,-6.6,20.8,1.54,27.2,2.6,10.3,6.4,17.7,45.5,48.0,16.7,104.29,5.9,564,923078.0,132267085.0,0.7
Pascal Siakam,TOR,28,68,40,28,37.9,114.3,109.6,4.8,22.4,1.99,18.8,4.6,18.2,11.1,9.5,52.5,56.5,25.7,96.31,13.9,5177,33003936.0,134896484.0,24.5
Fred VanVleet,TOR,28,65,39,26,37.9,112.2,108.5,3.7,26.6,2.55,24.3,1.6,10.0,5.7,9.5,51.3,55.2,23.3,96.97,11.8,4986,19675926.0,134896484.0,14.6
Chris Boucher,TOR,29,80,48,32,21.1,111.0,105.7,5.3,2.2,0.60,3.4,9.5,18.3,13.7,5.8,52.3,57.0,17.2,97.60,11.1,3440,7020000.0,134896484.0,5.2
Thaddeus Young,TOR,33,52,27,25,16.3,106.1,106.3,-0.2,17.7,2.00,23.2,8.8,15.2,11.9,11.6,55.0,54.8,16.9,99.55,10.9,1764,14190000.0,134896484.0,10.5
Scottie Barnes,TOR,20,74,43,31,35.4,110.2,108.4,1.8,15.0,1.88,18.1,6.8,14.1,10.2,9.6,52.4,55.2,18.7,97.03,10.9,5277,7280400.0,134896484.0,5.4
OG Anunoby,TOR,24,48,31,17,36.0,112.0,108.1,3.9,10.8,1.56,13.1,4.0,11.6,7.6,8.4,52.6,54.9,20.4,97.07,9.2,3494,16071429.0,134896484.0,11.9
Precious Achiuwa,TOR,22,73,46,27,23.6,108.7,106.7,1.9,7.2,0.98,9.9,7.5,18.8,12.8,10.2,48.6,50.3,18.0,96.88,8.9,3483,2711280.0,134896484.0,2.0
Yuta Watanabe,TOR,27,38,21,17,11.7,105.7,109.6,-3.9,6.7,1.11,10.7,3.5,15.8,9.3,9.7,50.4,52.4,16.1,102.15,7.5,940,1762796.0,134896484.0,1.3
Malachi Flynn,TOR,24,44,25,19,12.2,109.2,111.8,-2.6,18.5,5.38,25.4,1.6,9.7,5.3,4.7,47.5,48.8,15.7,99.97,7.4,1120,2048040.0,134896484.0,1.5
Justin Champagnie,TOR,20,36,21,15,7.8,115.4,108.0,7.4,5.1,1.38,12.2,11.1,12.6,11.8,8.9,53.7,57.1,11.1,99.31,7.0,585,462629.0,134896484.0,0.3
Dalano Banton,TOR,22,64,37,27,10.9,106.6,105.1,1.5,19.7,1.87,26.5,4.8,12.4,8.3,14.2,44.3,46.3,15.9,99.80,7.0,1452,925258.0,134896484.0,0.7
Khem Birch,TOR,29,55,34,21,18.0,112.3,112.4,-0.1,7.4,1.93,17.7,11.2,12.8,12.0,9.2,48.5,53.4,10.8,97.39,6.8,2021,6350000.0,134896484.0,4.7
Armoni Brooks,TOR,23,54,20,34,15.6,108.3,112.1,-3.8,10.5,2.30,16.1,2.1,9.7,5.8,7.0,46.7,48.3,15.9,100.95,5.4,1769,1739065.0,134896484.0,1.3
Markelle Fultz,ORL,24,18,6,12,20.0,103.7,109.1,-5.3,44.8,2.48,30.5,1.0,11.6,6.3,12.3,48.6,51.7,26.5,103.01,13.4,774,16500000.0,126786646.0,13.0
Moritz Wagner,ORL,25,63,16,47,15.2,105.3,112.6,-7.2,15.1,1.55,14.6,4.1,19.0,11.5,9.4,58.1,62.3,22.4,102.12,12.4,2041,1729217.0,126786646.0,1.4
Mo Bamba,ORL,24,71,19,52,25.7,101.8,111.3,-9.6,7.3,1.10,10.5,7.7,21.4,14.6,9.5,56.6,58.2,17.0,100.13,11.4,3800,7568743.0,126786646.0,6.0
Cole Anthony,ORL,22,65,18,47,31.7,105.7,111.1,-5.4,28.1,2.17,23.8,1.5,14.5,8.0,10.9,46.4,51.9,24.5,99.82,10.6,4283,3449400.0,126786646.0,2.7
Franz Wagner,ORL,20,79,21,58,30.7,105.9,110.8,-4.9,15.1,1.94,16.2,3.3,10.6,6.9,8.4,51.7,55.9,20.8,100.13,10.2,5070,5007840.0,126786646.0,3.9
Chuma Okeke,ORL,23,70,21,49,25.0,100.3,109.1,-8.8,10.4,2.07,15.1,2.4,16.5,9.2,7.3,47.8,50.1,15.9,101.68,9.3,3709,3277080.0,126786646.0,2.6
