PLAYER,TEAM,AGE,GP,W,L,MIN,OFFRTG,DEFRTG,NETRTG,AST%,AST/TO,AST Ratio,OREB%,DREB%,REB%,TO Ratio,eFG%,TS%,USG%,PACE,PIE,POSS,2021/22 Salary,Team Payroll,Percentage of Team Payroll
Jared Butler,UTA,21,42,31,11,8.6,112.5,112.6,-0.1,25.8,1.91,24.8,1.4,10.2,6.1,13.0,49.7,50.9,22.1,101.73,7.3,758,925258.0,149259891.0,0.6
Nickeil Alexander-Walker,UTA,23,65,29,36,22.6,107.6,110.7,-3.1,16.6,1.68,16.0,2.4,10.3,6.2,9.5,44.9,47.5,23.7,99.02,7.2,3015,3261480.0,149259891.0,2.2
Royce O'Neale,UTA,28,77,46,31,31.2,115.8,110.5,5.3,10.4,2.42,25.9,2.7,12.0,7.5,10.7,59.1,60.8,9.8,98.50,6.9,4924,8800000.0,149259891.0,5.9
Jimmy Butler,MIA,32,57,38,19,33.9,114.4,108.4,6.1,26.4,2.58,21.4,5.5,12.5,9.0,8.3,49.6,59.2,26.0,96.49,16.4,3886,36016200.0,140840240.0,25.6
Bam Adebayo,MIA,24,56,36,20,32.6,113.1,104.9,8.1,17.2,1.28,15.7,8.0,23.4,15.9,12.2,55.7,60.8,24.8,97.21,16.1,3696,28103500.0,140840240.0,20.0
Tyler Herro,MIA,22,66,44,22,32.6,113.4,108.1,5.3,20.5,1.51,15.9,1.5,13.3,7.6,10.6,52.5,56.1,27.8,97.92,12.9,4391,4004280.0,140840240.0,2.8
Omer Yurtseven,MIA,23,56,39,17,12.6,113.3,108.0,5.3,10.5,1.20,13.5,12.0,29.3,20.7,11.3,52.8,54.6,19.0,98.22,12.7,1439,1489065.0,140840240.0,1.1
Dewayne Dedmon,MIA,32,67,43,24,15.9,109.5,106.0,3.5,6.9,0.67,10.4,10.0,25.1,17.8,15.5,59.8,63.2,16.4,98.33,11.3,2169,5256308.0,140840240.0,3.7
Kyle Lowry,MIA,36,63,41,22,33.9,112.5,106.6,5.9,32.1,2.82,35.2,1.6,11.6,6.7,12.5,55.5,60.0,17.8,98.25,11.2,4364,26984128.0,140840240.0,19.2
Caleb Martin,MIA,26,60,37,23,22.9,111.8,106.2,5.7,6.8,1.23,11.3,5.4,11.4,8.5,9.2,58.5,61.1,15.8,98.80,9.4,2823,844011.0,140840240.0,0.6
Max Strus,MIA,26,68,46,22,23.3,113.7,108.1,5.6,8.6,1.61,12.6,1.6,11.2,6.5,7.8,60.2,61.4,17.7,97.07,8.6,3205,1669178.0,140840240.0,1.2
Gabe Vincent,MIA,25,68,47,21,23.4,109.1,106.0,3.1,19.8,2.14,24.9,1.4,6.4,4.0,11.6,53.3,55.1,17.4,97.65,7.0,3232,1669178.0,140840240.0,1.2
Duncan Robinson,MIA,28,79,52,27,25.9,110.4,107.9,2.6,9.5,2.15,13.8,1.2,8.9,5.0,6.4,55.9,57.3,17.4,96.48,6.7,4106,15650000.0,140840240.0,11.1
Markieff Morris,MIA,32,17,10,7,17.5,112.4,107.9,4.5,11.6,1.15,14.3,5.9,8.9,7.5,12.4,53.1,54.7,19.7,99.27,6.6,613,2641691.0,140840240.0,1.9
Mychal Mulder,MIA,27,17,3,14,14.1,100.6,110.8,-10.3,3.1,0.63,5.4,0.7,8.9,4.5,8.7,42.2,43.8,15.3,101.29,3.0,504,257902.0,140840240.0,0.2
Dejounte Murray,SAS,25,68,30,38,34.8,112.9,111.0,1.9,38.8,3.48,29.2,3.1,19.6,11.2,8.4,50.0,53.3,26.8,101.61,16.3,4988,15428880.0,127655401.0,12.1
Jakob Poeltl,SAS,26,68,30,38,29.0,115.2,111.8,3.4,13.1,1.73,18.1,12.5,18.4,15.4,10.4,61.9,61.3,18.2,100.62,11.9,4119,8750000.0,127655401.0,6.9
Zach Collins,SAS,24,28,14,14,17.9,110.9,107.8,3.1,17.0,1.36,21.2,8.5,19.7,14.1,15.6,53.5,59.4,18.4,104.12,10.7,1091,7000000.0,127655401.0,5.5
Tre Jones,SAS,22,69,32,37,16.6,108.8,109.3,-0.5,28.0,5.07,35.7,2.4,10.3,6.4,7.1,50.4,54.5,15.1,102.57,10.5,2452,1517981.0,127655401.0,1.2
Keldon Johnson,SAS,22,75,33,42,31.9,113.2,111.1,2.1,9.1,1.72,11.6,3.1,14.8,8.9,6.8,54.5,57.4,21.0,101.51,10.2,5043,2145720.0,127655401.0,1.7
Jock Landale,SAS,26,54,24,30,10.9,107.9,109.0,-1.1,11.5,1.45,15.2,9.4,11.8,10.6,10.4,56.6,59.7,17.2,103.34,9.7,1266,925258.0,127655401.0,0.7
Keita Bates-Diop,SAS,26,59,23,36,16.2,107.0,106.2,0.8,5.9,0.91,10.9,6.1,16.3,11.2,12.0,54.9,57.8,14.4,102.27,9.2,2032,1729217.0,127655401.0,1.4
Devin Vassell,SAS,21,71,29,42,27.3,111.2,110.2,1.0,9.6,2.34,13.6,2.1,12.8,7.4,5.8,51.6,54.0,18.4,102.50,8.7,4131,4235160.0,127655401.0,3.3
Josh Richardson,SAS,28,65,38,27,24.6,112.3,107.8,4.5,10.5,1.74,15.2,2.6,8.7,5.7,8.7,53.4,57.3,17.1,98.91,8.3,3292,11615328.0,127655401.0,9.1
Doug McDermott,SAS,30,51,21,30,24.0,112.3,114.1,-1.8,6.8,1.49,10.8,1.4,7.6,4.5,7.3,57.8,59.3,17.8,102.53,6.8,2617,13750000.0,127655401.0,10.8
Romeo Langford,SAS,22,48,24,24,16.1,104.0,103.1,1.0,4.0,1.31,8.5,3.5,9.2,6.3,6.5,51.0,52.0,12.3,99.06,6.1,1586,3804360.0,127655401.0,3.0
Ja Morant,MEM,22,57,36,21,33.1,115.3,111.2,4.1,33.0,1.96,19.8,3.7,12.4,8.0,10.1,53.0,57.5,33.0,101.46,16.3,4003,9603360.0,117284457.0,8.2
Brandon Clarke,MEM,25,64,44,20,19.5,113.2,105.7,7.5,10.1,2.53,13.9,9.9,14.8,12.3,5.5,65.0,66.0,17.1,104.61,14.1,2703,2726880.0,117284457.0,2.3
Tyus Jones,MEM,26,73,51,22,21.2,113.0,105.5,7.6,28.5,7.04,34.2,1.0,9.7,5.2,4.9,52.4,54.4,16.4,100.93,12.6,3262,8376286.0,117284457.0,7.1
Desmond Bane,MEM,23,76,53,23,29.8,114.7,107.8,6.9,13.6,1.87,14.1,1.8,11.8,6.8,7.5,56.5,59.2,22.6,100.73,11.6,4770,2033160.0,117284457.0,1.7
Steven Adams,MEM,28,76,51,25,26.3,117.8,109.5,8.3,15.5,2.23,30.5,15.9,19.8,17.8,13.7,54.7,56.0,11.8,99.57,10.8,4150,17073171.0,117284457.0,14.6
Kyle Anderson,MEM,28,69,46,23,21.5,110.3,108.3,2.0,16.2,2.58,23.9,4.1,19.6,11.5,9.3,48.4,50.6,15.6,103.71,10.5,3203,9937150.0,117284457.0,8.5
De'Anthony Melton,MEM,24,73,49,24,22.7,112.0,106.4,5.6,15.7,1.73,18.4,3.4,15.0,9.0,10.6,50.4,52.9,20.5,103.64,10.3,3587,8805976.0,117284457.0,7.5
John Konchar,MEM,26,72,48,24,17.9,109.7,107.0,2.7,10.9,3.76,25.8,5.9,18.2,11.7,6.9,61.5,61.5,9.7,101.72,10.2,2745,2200000.0,117284457.0,1.9
Xavier Tillman,MEM,23,53,35,18,13.2,105.0,106.4,-1.4,12.7,1.82,18.1,8.4,13.8,10.9,9.9,47.7,51.0,16.4,100.82,9.4,1469,1517981.0,117284457.0,1.3
